objid ra dec u g r i z redshift
1237667324334571832 194.945554289402 27.9919122044662 20.02791 18.26144 17.57143 17.23907 17.04391 0.0280615
1237667444048658525 194.944907542903 27.9738447820359 17.30043 15.44855 14.63608 14.25164 13.96175 0.03141962
1237667324334571645 194.932181671305 27.9946833887661 17.56027 15.73545 14.94331 14.53115 14.23392 0.02225102
1237667444048658531 194.93417725317 27.9584134455833 18.30467 16.5683 15.8296 15.47243 15.20077 0.02303317
1237667444048658530 194.917791102725 27.9682328476882 18.22049 16.48762 15.66237 15.30458 14.99181 0.02527304
1237667444048658535 194.909649374197 27.9871937405717 17.72756 15.89464 15.09662 14.75999 14.52253 0.02273988
1237667324334571647 194.908273471014 28.0010090157553 20.02048 18.52473 17.815 17.45256 17.2404 0.01658908
1237667444048658528 194.915234059966 27.9539049125056 17.97512 16.24808 15.4799 15.11111 14.83044 0.02678836
1237667444048658532 194.898771254046 27.9592632790695 14.66661 12.79836 11.9901 11.52812 11.23766 0.02390867
1237667324334571728 194.983378850878 28.0347148111296 16.6594 14.83168 14.01426 13.58994 13.26049 0.02718822
1237667324334637085 195.018502327941 27.9875782999617 16.55103 14.71623 13.94687 13.56522 13.31371 0.02125258
1237667324334637086 195.026605798777 28.0041166150692 18.74981 16.63668 15.85161 15.45258 15.16259 0.02424595
1237667324334637091 195.022457096209 28.0244389381637 17.81431 16.0978 15.43074 15.06492 14.82129 0.01969106
1237667444048658521 194.892163293158 27.9468363801219 16.91885 15.09733 14.28028 13.86293 13.5701 0.0239514
1237667444048658522 194.874841758451 27.9564278136727 16.65875 14.78519 13.96492 13.55658 13.28338 0.02266739
1237667444048658523 194.886633924802 27.9835999186591 16.62116 14.83875 14.052 13.63551 13.35147 0.01942776
1237667444048658549 194.879595269401 27.9549070530367 21.92133 20.67551 20.06528 19.59901 19.41985 0.0236594
1237667444048658653 194.926265581534 27.9247329133466 17.85477 16.06898 15.26948 14.90768 14.61891 0.02303923
1237667444048658654 194.935019138118 27.9124547925807 16.6908 14.96003 14.165 13.763 13.46627 0.02235104
1237667444048658822 194.958769432841 27.9248355842614 18.3735 16.70605 15.92632 15.55098 15.26732 0.03279741
1237667444048658858 194.9860468012 27.9300248583061 17.51437 15.82068 15.05232 14.67835 14.39264 0.02570705
1237667444048658878 194.997788310105 27.9405714847299 19.31632 17.94934 17.2512 16.92708 16.75276 0.0203727
1237667444048658882 195.004040471173 27.9454313169904 19.01552 17.56509 16.87678 16.55435 16.334 0.02281969
1237667323797569745 194.612821587706 27.7066155948071 20.19656 18.59348 17.93033 17.6015 17.4038 0.02335642
